Data_Hora,Dificuldade,Rodada,Geracao,Fitness_Maximo_Global,Fitness_Medio_Pop
2026-09-01 16:35:27,2,5,12,558.7700,237.0101
2026-09-01 16:35:27,2,5,13,558.7700,259.5528
2026-09-01 16:35:27,2,5,14,558.7700,243.7688
2026-09-01 16:35:27,2,5,15,558.7700,231.0945
2026-09-01 16:35:27,2,5,16,558.7700,257.2903
2026-09-01 16:35:27,2,5,17,558.7700,271.2289
2026-09-01 16:35:27,2,5,18,558.7700,233.9140
2026-09-01 16:35:52,3,4,1,370.1327,61.4322
2026-09-01 16:35:52,3,4,2,388.3001,68.5309
2026-09-01 16:35:52,3,4,3,388.3001,82.6710
2026-09-01 16:35:52,3,4,4,388.3001,85.6398
2026-09-01 16:35:52,3,4,5,388.3001,103.3746
2026-09-01 16:35:52,3,4,6,388.3001,111.5229
2026-09-01 16:35:52,3,4,7,437.4093,109.3653
2026-09-01 16:35:52,3,4,8,527.4009,107.4535
2026-09-01 16:35:52,3,4,9,527.4009,98.1295
2026-09-01 16:35:52,3,4,10,527.4009,106.8735
2026-09-01 16:35:52,3,4,11,527.4009,110.1694
2026-09-01 16:35:52,3,4,12,527.4009,106.3305
2026-09-01 16:35:52,3,4,13,527.4009,101.0886
2026-09-01 16:35:52,3,4,14,527.4009,112.6515
2026-09-01 16:35:52,3,4,15,527.4009,109.1676
2026-09-01 16:35:52,3,4,16,527.4009,115.9739
2026-09-01 16:35:52,3,4,17,527.4009,98.8000
2026-09-01 16:36:31,1,8,1,601.0827,364.4275
2026-09-01 16:36:31,1,8,2,691.6371,441.4792
2026-09-01 16:36:31,1,8,3,691.6371,445.3961
2026-09-01 16:36:31,1,8,4,691.6371,486.4781
2026-09-01 16:36:31,1,8,5,691.6371,487.3761
2026-09-01 16:36:31,1,8,6,691.6371,515.1283
2026-09-01 16:36:31,1,8,7,704.6662,559.1080
2026-09-01 16:36:31,1,8,8,704.6662,597.5266
2026-09-01 16:36:31,1,8,9,704.6662,588.8872
2026-09-01 16:36:31,1,8,10,704.6662,618.9863
2026-09-01 16:36:31,1,8,11,737.2107,599.4355
2026-09-01 16:36:31,1,8,12,737.2107,591.8082
2026-09-01 16:36:31,1,8,13,737.2107,576.7407
2026-09-01 16:36:31,1,8,14,737.2107,557.3671
2026-09-01 16:36:31,1,8,15,737.2107,529.1875
2026-09-01 16:36:31,1,8,16,737.2107,557.7618
2026-09-01 16:36:31,1,8,17,737.2107,559.7625
2026-09-01 16:36:31,1,8,18,737.2107,545.7613
2026-09-01 16:36:31,1,8,19,737.2107,623.3773
2026-09-01 16:36:31,1,8,20,737.2107,540.3786
2026-09-01 16:36:31,1,8,21,768.9395,565.8585
2026-09-01 16:36:31,1,8,22,768.9395,542.2738
